call_ID,round number,salesperson talking time,SP pause,total round pauses,customer talking time,crosstalk1,crosstalk2,crosstalk3,crosstalk4,crosstalk5
00T6000005auL97EAE.txt,10,00:21.054,00:00.405,00:00.238,00:08.995,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auL97EAE.txt,11,00:01.459,00:00.319,00:00.003,00:01.346,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auL97EAE.txt,12,00:00.576,00:00.000,00:00.491,00:00.000,00:00.000,00:00.000,00:00.000,00:00.392,00:00.000,
00T6000005aUoAmEAK.txt,1,00:03.004,00:00.284,00:00.567,00:01.395,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aUoAmEAK.txt,2,00:18.516,00:00.355,00:00.899,00:10.310,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aUoAmEAK.txt,3,00:01.466,00:00.236,00:00.875,00:00.686,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aUoAmEAK.txt,4,00:00.970,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aUXblEAG.txt,1,00:01.908,00:01.319,00:01.083,00:00.895,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aUXblEAG.txt,2,00:07.701,00:01.178,00:00.965,00:03.038,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aUXblEAG.txt,3,00:00.918,00:00.330,00:01.296,00:12.128,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aUXblEAG.txt,4,00:01.012,00:01.272,00:00.801,00:08.337,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aUXblEAG.txt,5,00:04.380,00:00.354,00:00.047,00:08.313,00:00.000,00:00.000,00:01.083,00:00.000,00:00.000,
00T6000005aUXblEAG.txt,6,00:01.554,00:00.353,00:00.636,00:01.013,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aUXblEAG.txt,7,00:00.353,00:00.000,00:00.565,00:00.424,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auXN6EAM.txt,1,00:02.660,00:00.695,00:01.590,00:00.825,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auXN6EAM.txt,2,00:17.117,00:00.491,00:01.002,00:11.081,00:00.000,00:00.000,00:00.650,00:00.000,00:00.000,
00T6000005auXN6EAM.txt,3,00:05.121,00:00.528,00:01.161,00:06.952,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auXN6EAM.txt,4,00:04.055,00:00.046,00:01.948,00:03.384,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auXN6EAM.txt,5,00:04.347,00:00.042,00:00.935,00:01.407,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auXN6EAM.txt,6,00:05.328,00:00.000,00:00.916,00:00.616,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auXN6EAM.txt,7,00:00.491,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avqROEAY.txt,1,00:01.200,00:00.430,00:00.860,00:01.361,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avqROEAY.txt,2,00:00.825,00:00.510,00:01.110,00:00.323,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avqROEAY.txt,3,00:01.004,00:00.896,00:00.922,00:00.797,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avqROEAY.txt,4,00:01.568,00:01.057,00:01.182,00:02.329,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avqROEAY.txt,5,00:02.625,00:01.693,00:01.451,00:01.585,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avqROEAY.txt,6,00:01.200,00:00.958,00:02.114,00:01.443,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avqROEAY.txt,7,00:01.442,00:00.528,00:00.779,00:02.267,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avqROEAY.txt,8,00:20.011,00:01.128,00:00.108,00:06.557,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avqROEAY.txt,9,00:05.303,00:00.394,00:00.001,00:03.412,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avqROEAY.txt,10,00:08.366,00:00.296,00:00.609,00:01.541,00:00.000,00:00.000,00:00.385,00:00.000,00:00.000,
00T6000005avqROEAY.txt,11,00:00.143,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avtNOEAY.txt,1,00:01.334,00:00.969,00:01.057,00:00.365,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avtNOEAY.txt,2,00:04.317,00:00.718,00:01.699,00:00.566,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avtNOEAY.txt,3,00:33.673,00:01.353,00:01.259,00:01.907,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avtNOEAY.txt,4,00:03.203,00:00.888,00:00.805,00:01.252,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avtNOEAY.txt,5,00:04.543,00:03.657,00:01.108,00:02.611,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avtNOEAY.txt,6,00:05.241,00:00.441,00:00.661,00:00.453,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avtNOEAY.txt,7,00:06.809,00:00.528,00:00.025,00:01.007,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avtNOEAY.txt,8,00:01.026,00:00.774,00:00.038,00:16.009,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avtNOEAY.txt,9,00:05.185,00:00.503,00:00.063,00:00.422,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005avtNOEAY.txt,10,00:06.319,00:00.000,00:00.075,00:01.108,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aw4oREAQ.txt,1,00:03.722,00:00.738,00:00.866,00:02.239,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aw4oREAQ.txt,2,00:13.222,00:00.029,00:01.847,00:02.378,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aw4oREAQ.txt,3,00:00.509,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aw6e4EAA.txt,1,00:01.710,00:00.359,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aw6e4EAA.txt,2,00:00.731,00:00.827,00:10.977,00:00.897,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aw6e4EAA.txt,3,00:00.869,00:00.276,00:00.675,00:00.359,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aw6e4EAA.txt,4,00:22.216,00:-1.987,00:00.028,00:00.000,00:00.000,00:00.000,00:00.000,00:01.820,00:00.000,
00T6000005aw6e4EAA.txt,5,00:10.108,00:00.551,00:01.765,00:34.601,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aw6e4EAA.txt,6,00:01.517,00:00.068,00:00.069,00:15.446,00:00.000,00:00.000,00:00.000,00:02.248,00:00.000,
00T6000005aw6e4EAA.txt,7,00:07.820,00:00.000,00:00.055,00:01.448,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005awWuyEAE.txt,1,00:01.412,00:00.330,00:01.318,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005awWuyEAE.txt,2,00:02.149,00:00.957,00:01.585,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005awWuyEAE.txt,3,00:00.251,00:00.361,00:12.482,00:01.263,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005awWuyEAE.txt,4,00:03.538,00:00.424,00:01.804,00:01.075,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005awWuyEAE.txt,5,00:17.502,00:00.212,00:01.043,00:10.002,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005awWuyEAE.txt,6,00:01.616,00:00.376,00:-1.984,00:01.248,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005awWuyEAE.txt,7,00:01.590,00:00.000,00:01.132,00:00.526,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005awwxuEAA.txt,1,00:03.632,00:00.279,00:01.039,00:03.036,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005awwxuEAA.txt,2,00:26.304,00:01.093,00:00.062,00:03.191,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005awwxuEAA.txt,3,00:02.834,00:02.029,00:00.062,00:09.148,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005awwxuEAA.txt,4,00:01.426,00:00.240,00:05.778,00:00.565,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005awwxuEAA.txt,5,00:00.357,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005ax7xlEAA.txt,1,00:00.667,00:00.912,00:22.120,00:01.156,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005ax7xlEAA.txt,2,00:11.464,00:00.291,00:01.550,00:03.054,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005ax7xlEAA.txt,3,00:06.494,00:00.516,00:01.306,00:00.395,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005ax7xlEAA.txt,4,00:17.422,00:00.827,00:00.141,00:01.936,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005ax7xlEAA.txt,5,00:04.247,00:00.329,00:01.532,00:00.883,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005ax7xlEAA.txt,6,00:01.720,00:00.328,00:00.009,00:00.273,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
